41,11,0
8,35,1
32,29,0
19,18,0
52,47,0
27,22,1
49,10,0
19,55,1
19,13,1
7,55,0
9,37,0
14,29,1
56,38,0
49,32,1
52,42,1
28,33,0
33,19,0
51,15,0
55,34,1
32,26,0
54,21,1
32,31,0
55,21,0
48,14,1
10,13,0
32,38,0
46,8,0
33,7,0
7,36,0
31,44,0
35,14,0
7,5,0
32,24,0
55,15,1
36,56,1
7,18,0
44,29,0
52,34,0
41,45,1
35,9,1
19,30,0
8,35,1
40,25,1
21,23,1
36,53,0
26,9,1
10,17,0
33,27,0
40,25,1
21,23,1
36,53,0
26,9,1
10,17,0
33,27,0
56,21,1
56,22,1
26,46,0
8,21,0
53,52,0
27,40,0
11,13,0
43,13,0
55,52,1
34,7,0
29,39,1
54,30,0
53,20,1
50,33,1
55,45,0
38,40,1
33,24,0
35,32,0
47,7,0
50,25,1
49,9,0
30,8,0
52,18,0
27,39,0
6,11,0
53,52,0
13,37,1
54,42,0
10,18,0
48,33,1
17,52,0
17,8,1
16,37,0
7,52,1
7,37,0
34,41,0
52,5,1
46,45,1
26,21,0
21,51,0
42,18,0
43,32,0
17,11,0
25,12,1
48,24,1
18,12,0
